No,DOI,Link,Authors,Abstract,PDF URL,Status,Notes,Has Bot Check,Resolves To PDF,broken_doi,no english
,10.7256/2454-0730.2019.1.20595,https://nbpublish.com/library_read_article.php?id=20595,"[{""name"": ""Glushchenko Valeriy Vladimirovich"", ""rasses"": ""Project Activity Center, Moscow Polytechnic University, Obraztsova str. 9, office 1, Moscow, 107564, Russia"", ""corresponding_author"": false}, {""name"": ""Glushchenko Irina Ivanovna"", ""rasses"": ""Department of Accounting and Statistics, Russian State Social University, Wilhelm Pieck's str. 4, bld. 1, Moscow, 129226, Russia"", ""corresponding_author"": false}, {""name"": ""Kozyrev Valentin Aleksandrovich"", ""rasses"": ""Department of Management and Human Resource Management, Moscow State University of Railway Engineering, Obraztsova Street 9, building 9, office 1, Moscow, 127994, Russia"", ""corresponding_author"": false}, {""name"": ""Glushchenko Irina Ivanovna"", ""rasses"": ""Department of Accounting and Statistics, Russian State Social University, Vil'gel'ma Pika str. 4, Moscow, 129226, Russia"", ""corresponding_author"": false}]","The subject of this research is the theoretical grounds of serviceology as a science on the development of economics and management in service industry. The object of this research is the service industry as a structural element of the modern global economy. The goal of the article lies in development of serviceology as scientific foundation for the advancement of service industry in the modern economy of Russia. For achieving the set goal, the authors examine the content and specificity of service industry, and the impact of scientific-technological and socio-economic progress upon it; develop the four-level model of service; explore the possible approaches towards improving the quality of services and competence of management in service industry in the context of scientific-technological progress and intensive development of information technologies. The scientific novelty consists in formulation of the positions of serviceology as scientific foundation of service industry; formation of theoretical grounds of the development of economics and management in service industry in the conditions of globalization of services market, advancement of service and information communication technologies; suggestion of the four-level model of service that can be applied for analyzing the competitiveness of services.",,True,,False,False,False,False
,10.1161/01.str.32.6.1291,https://www.ahajournals.org/doi/10.1161/01.STR.32.6.1291,"[{""name"": ""Philip M. White"", ""rasses"": ""Department of Neuroradiology, Institute of Neurological Sciences, Southern General Hospital, Glasgow, UK; Department of Clinical Neurosciences, University of Edinburgh, Bramwell Dott Bldg, Western General Hospital, Crewe Rd, Edinburgh, EH4 2XU, UK"", ""corresponding_author"": true}, {""name"": ""Joanna M. Wardlaw"", ""rasses"": ""Department of Clinical Neurosciences, Western General Hospital, Edinburgh, UK"", ""corresponding_author"": false}, {""name"": ""Evelyn Teasdale"", ""rasses"": ""Department of Neuroradiology, Institute of Neurological Sciences, Southern General Hospital, Glasgow, UK"", ""corresponding_author"": false}, {""name"": ""Stuart Sloss"", ""rasses"": ""Department of Neuroradiology, Institute of Neurological Sciences, Southern General Hospital, Glasgow, UK"", ""corresponding_author"": false}, {""name"": ""Jim Cannon"", ""rasses"": ""Department of Clinical Neurosciences, Western General Hospital, Edinburgh, UK"", ""corresponding_author"": false}, {""name"": ""Valerie Easton"", ""rasses"": ""Department of Clinical Neurosciences, Western General Hospital, Edinburgh, UK; Department of Community Health Sciences, University of Edinburgh, UK"", ""corresponding_author"": false}]","Background and Purpose—We sought to perform a large, prospective, multicenter, blinded study comparing power transcranial color duplex sonography (power TCDS) with intra-arterial digital subtraction angiography (IADSA) in the detection of intracranial aneurysms. Methods—Contemporaneous TCDS and IADSA examinations were performed in 171 subjects with suspected intracranial aneurysm. Via the temporal bone window, a 2-dimensional hand-held noncontrast transcranial duplex ultrasound imaging system was used operating in power and spectral modes. Sonographers were blinded to clinical history and results of brain CT and IADSA. Results—We found that 157 subjects (92%) had an adequate bone window. Sensitivity per patient was 0.78 (95% CI, 0.66 to 0.87) and 0.46 (95% CI, 0.36 to 0.56) for any anterior circulation aneurysms. Sensitivity was 0.35 (95% CI, 0.24 to 0.46) for aneurysms ≤5 mm and 0.81 (95% CI, 0.62 to 0.94) for aneurysms >5 mm. Accuracy was lower for aneurysms on the cavernous and terminal internal carotid arteries, including posterior communicating artery origin (0.71; 95% CI, 0.63 to 0.79), than for those on the anterior (0.82; 95% CI, 0.74 to 0.89) or the middle cerebral arteries (0.79; 95% CI, 0.71 to 0.86). Conclusions—Power TCDS is a promising, inexpensive, noninvasive test for anterior circulation intracranial aneurysms but is less sensitive per aneurysm than alternatives such as CT angiography or MR angiography. Sensitivity is poor for aneurysms ≤5 mm in diameter. The internal carotid artery is the most difficult segment to interpret.",,True,Complete address available only for corresponding author from note,False,False,False,False
,10.1079/cabicompendium.60129,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.60129,"[{""name"": ""Robin Nicholas"", ""rasses"": """", ""corresponding_author"": true}]","This datasheet on urinary tract and renal diseases of small ruminants covers Identity, Overview, Associated Diseases, Pests or Pathogens, Biology & Ecology, Impacts and Prevention/Control.",https://www.cabidigitallibrary.org/doi/pdf/10.1079/cabicompendium.60129?download=true,True,,False,False,False,False
,10.1016/j.surfcoat.2023.129748,https://www.sciencedirect.com/science/article/pii/S0257897223010435,[],,,False,Cloudflare captcha blocked access,True,False,False,False
,10.1109/jrproc.1955.277953,https://ieeexplore.ieee.org/document/4051720,"[{""name"": ""T. J. Carroll"", ""rasses"": ""MIT Lincoln Laboratories, Lexington, MA, USA"", ""corresponding_author"": false}, {""name"": ""R. M. Ring"", ""rasses"": ""MIT Lincoln Laboratories, Lexington, MA, USA"", ""corresponding_author"": false}]","Experiments of the past decade give stronger fields well beyond the horizon than are calculated by the 4/3 airless earth approximation. Post-war work on the theory of the WKB approximation for wave propagation in slowly varying inhomogeneous media, and the peculiar results for eigenvalues of the bilinear refractive index proffle offer valuable clues in the search for an oversight in conventional propagation theory. If the absolute value as well as the gradient of the refractive index at the earth's surface be specified, with a refractive index profile which tapers to vacuum at some arbitrarily large height, then allowed modes of the wave equation permit the field to be calculated within, just beyond, and well beyond the horizon, in agreement with many vhf and microwave experiments. Modes thus calculated are supported by ordinary coherent molecular scattering in normal air dielectric layer. At times, superrefraction and macroscopic turbulence are additional mechanisms for propagation deep into the shadow of the earth bulge.",,True,,False,False,False,False
,10.25259/nmji_377_2024,https://nmji.in/,"[{""name"": ""KRISHNA PRAKASH"", ""rasses"": ""Department of General Medicine, Healthway Hospital, Goa, India"", ""corresponding_author"": false}, {""name"": ""MAHEEN NOUSHAD"", ""rasses"": ""Department of General Medicine, Healthway Hospital, Goa, India"", ""corresponding_author"": false}, {""name"": ""CHITRALEKHA ANILKUMAR NAYAK"", ""rasses"": ""Department of General Medicine, Healthway Hospital, Goa, India"", ""corresponding_author"": false}]","Melioidosis is an emerging infectious disease caused by Burkholderia pseudomallei usually when an individual is exposed to mud or pools of water. A 68-year-old diabetic female with orbital apex syndrome on steroid therapy, presented as vertebral spondylitis with pre-vertebral and para spinal abscesses mimicking tuberculosis with a history of acute onset of throbbing neck pain. High-resolution computed tomography thorax (Fig. 1) showed cavitary consolidation in the right upper lobe of the lungs and a focal area of traction bronchiectasis with scar tissue in the left upper lobe. Magnetic resonance imaging of the cervical spine with contrast (Fig. 2) showed diffuse marrow oedema in the C2 vertebra with fluid in C2–C3 facet joint on the right side. Multiseptated collections of size 8 cm (superior-inferior extent) and 1.2 cm (anteroposterior dimension) were seen in the prevertebral space within the prevertebral muscles from the C1 vertebra to the C4–C5 intervertebral disc with no obvious intraspinal or epidural extension. Ill-defined collections and inflammatory soft tissue were seen extending into the posterior paraspinal muscles at C2 and C3 vertebral levels, with oedema in the posterior paraspinal muscles from C1 to C7 levels, more on the left side (Fig. 3), suggesting infective spondylitis involving C2 vertebrae with prevertebral/paraspinal collections. Pus culture grew B. pseudomallei and improved on intravenous meropenem and ceftazidime for 4 weeks and oral co-trimoxazole for 6 months. Concomitant infection of lungs and visceral organs should raise a of suspicion of melioidosis. It is usually associated with lumbar involvement and neurological complications in 4% cases with paravertebral collection.",https://nmji.in/content/141/2026/39/2/pdf/NMJI-39-130.pdf,True,,False,False,False,False
,10.1121/1.413202,https://pubs.aip.org/asa/jasa/article/98/5_Supplement/2866/620020,"[{""name"": ""Fischer, Brent A."", ""rasses"": ""Ctr. for Nondestruc. Eval., Iowa State Univ., Ames, IA 50011"", ""corresponding_author"": false}, {""name"": ""Hsu, David K."", ""rasses"": ""Ctr. for Nondestruc. Eval., Iowa State Univ., Ames, IA 50011"", ""corresponding_author"": false}]","The interaction of shear wave polarization and the fiber directions in a composite laminate makes shear waves a sensitive probe for evaluating ply orientation and sequence in a layup. The transmitted shear wave signal, with the transmitting and receiving transducers perpendicular to each other, can easily distinguish a [0/+45/90/−45]6 from a [0/+45/90/−45]3S, and detect an error in the form of a single misoriented ply: the 12th ply in [0/90/+45/−45]3S mistakenly placed at +45° instead of at −45°. Shear waves can therefore detect subtle but realistic layup anomalies in composite laminates. In this work, a model is developed for the propagation of shear waves through a laminate with arbitary ply orientation and sequence. Experimental results and model predictions are compared, and the model is used for identifying layup anomalies that are detectable with shear waves. Potential applications of this new method in nondestructive evaluation of composite laminates will be discussed. [Work supported by NSF I/U Center for NDE.]",https://pubs.aip.org/asa/jasa/article-pdf/98/5_Supplement/2866/19902332/jas.v98.i5.2866_4.online.pdf,True,,False,False,False,False
,10.3791/30429,https://www.jove.com/v/30429,[],"Adenosine triphosphate, ATP, the primary cell energy source, is vital for diverse cellular functions. Under stress, intracellular ATP levels are negatively impacted, making ATP a good marker for metabolically active, viable cells. To begin, seed tumor cell suspension into a black-walled, clear-bottom microplate for minimal light scattering during light intensity measurement. The microplate consists of a hydrogel coating that prevents cells from adhering to the plate, enabling cell-to-cell interaction and self-assembly into tumor organoids - three-dimensional tissue cultures that mimic tumor microenvironment. Next, treat with a test compound. The test compound interacts with the organoid cells and, depending on its growth-inhibitory potential, may disrupt the energy-producing metabolic processes, resulting in intracellular ATP depletion. Post-treatment, add a one-step reagent comprising detergents, ATPase inhibitors, the enzyme luciferase, luciferase-specific substrate, luciferin, and magnesium ions. Incubate for the desired duration. The detergent solubilizes the cellular membranes, causing cell lysis and ATP extraction into solution, while the ATPase inhibitors inactivate any released endogenous ATPases, stabilizing ATP. Following its extraction, ATP, in the presence of magnesium ions, facilitates luciferin to bind to luciferase, which oxidizes luciferin into high-energy oxyluciferin that upon relaxation, generates a bioluminescent photon. Using a luminometer, measure the light intensity produced by the photons, representative of intracellular ATP concentration. Lower amounts of ATP indicate lower cell viability, suggesting higher growth-inhibitory potential of the test compound. After 24 hours of medium change, mince the tumor organoids using a cell fragmentation and dispersion instrument, equipped with a filter holder containing a 70-micrometer mesh filter. Dilute 15 millimeters of tumor organoid suspension 10 times. Use the cell suspension dispenser to seed 40 microliters of diluted tumor organoid suspension in a 384-well ultra-low attachment spheroid microplate. After 24 hours, use a liquid handler to add 0.04 microliters of test agent solutions from 10 serial dilutions at final concentration ranges of 20 micromolar to 1.0 nanomolar in the wells, and incubate the plate for 6 days. At the end of the incubation, add intracellular ATP-measuring reagent in the test wells. Use a mixer to mix the contents of the plate and incubate the plate for 10 minutes at approximately 25 degrees Celsius. Use a plate reader to measure the intracellular ATP content as luminescence.",,True,JoVE Encyclopedia entry - no authors listed,False,False,False,False
,10.24952/masharif.v9i1.3848,https://jurnal.uinsyahada.ac.id/index.php/Al-masharif/article/view/3848,"[{""name"": ""Dirvi Surya Abbas"", ""rasses"": ""University of Muhammadiyah Tangerang, Indonesia"", ""corresponding_author"": false}, {""name"": ""Imam Hidayat"", ""rasses"": ""University of Muhammadiyah Tangerang, Indonesia"", ""corresponding_author"": false}]","The purpose of this study was to determine the effect of Capital Adequacy Ratio, Non-Performing Finance, Net Profit Margin, Return On Assets, and Finance to Deposit Ratio on Profit Growth in Islamic commercial banks listed in the Financial Services Authority in the 2015- 2018 period. Population This research is all Islamic commercial banks registered with the Financial Services Authority for 2015-2018. The sampling technique used a purposive sampling technique. Based on predetermined criteria, nine companies were obtained. The data used is secondary data obtained from the Financial Services Authority website and the respective Islamic commercial bank websites. The analysis method used is a logistic regression analysis of panel data. The results showed that CAR's capital, management proxied by NPM, and profit proxied by ROA positively affect profit growth, while asset quality proxied by NPF and liquidity proxied by FDR have no impact on profit growth.",https://jurnal.uinsyahada.ac.id/index.php/Al-masharif/article/download/3848/2612,True,,False,False,False,False
,10.1039/bk9781782627609-00134,https://pubs.rsc.org/en/content/chapter/bk9781782627609-00134/978-1-78262-760-9,"[{""name"": ""Ralph G Wilkins"", ""rasses"": ""New Mexico State University, USA"", ""corresponding_author"": false}]","There are numerous inheritance patterns involving autosomes and sex chromosomes. This chapter discusses the consequences of possessing, in a pair of homologous chromosomes, two mutant alleles or one mutant allele. Dominant or non-dominant (recessive) relationships in autosomes and sex chromosomes are illustrated with a number of human diseases and animal characteristics. Examples discussed include hemophilia in humans and animals, roan cows and palomino horses, cheetahs, lethal alleles, yellow mice, mitochondrial inheritance and Richard III.",,True,Paywall - no PDF access,False,False,False,False
